column,dtype,unique,sample_vals
SK_ID_CURR,int64,307511,"100002, 100003, 100004, 100006, 100007"
TARGET,int64,2,"1, 0"
NAME_CONTRACT_TYPE,str,2,"Cash loans, Revolving loans"
CODE_GENDER,str,3,"M, F, XNA"
FLAG_OWN_CAR,str,2,"N, Y"
FLAG_OWN_REALTY,str,2,"Y, N"
CNT_CHILDREN,int64,15,"0, 1, 2, 3, 4"
AMT_INCOME_TOTAL,float64,2548,"202500.0, 270000.0, 67500.0, 135000.0, 121500.0"
AMT_CREDIT,float64,5603,"406597.5, 1293502.5, 135000.0, 312682.5, 513000.0"
AMT_ANNUITY,float64,13672,"24700.5, 35698.5, 6750.0, 29686.5, 21865.5"
AMT_GOODS_PRICE,float64,1002,"351000.0, 1129500.0, 135000.0, 297000.0, 513000.0"
NAME_TYPE_SUITE,str,7,"Unaccompanied, Family, Spouse, partner, Children, Other_A"
NAME_INCOME_TYPE,str,8,"Working, State servant, Commercial associate, Pensioner, Unemployed"
NAME_EDUCATION_TYPE,str,5,"Secondary / secondary special, Higher education, Incomplete higher, Lower secondary, Academic degree"
NAME_FAMILY_STATUS,str,6,"Single / not married, Married, Civil marriage, Widow, Separated"
NAME_HOUSING_TYPE,str,6,"House / apartment, Rented apartment, With parents, Municipal apartment, Office apartment"
REGION_POPULATION_RELATIVE,float64,81,"0.018801, 0.003541, 0.010032, 0.008019, 0.028663"
DAYS_BIRTH,int64,17460,"-9461, -16765, -19046, -19005, -19932"
DAYS_EMPLOYED,float64,12573,"-637.0, -1188.0, -225.0, -3039.0, -3038.0"
DAYS_REGISTRATION,float64,15688,"-3648.0, -1186.0, -4260.0, -9833.0, -4311.0"
DAYS_ID_PUBLISH,int64,6168,"-2120, -291, -2531, -2437, -3458"
OWN_CAR_AGE,float64,62,"26.0, 17.0, 8.0, 23.0, 7.0"
FLAG_MOBIL,int64,2,"1, 0"
FLAG_EMP_PHONE,int64,2,"1, 0"
FLAG_WORK_PHONE,int64,2,"0, 1"
FLAG_CONT_MOBILE,int64,2,"1, 0"
FLAG_PHONE,int64,2,"1, 0"
FLAG_EMAIL,int64,2,"0, 1"
OCCUPATION_TYPE,str,18,"Laborers, Core staff, Accountants, Managers, Drivers"
CNT_FAM_MEMBERS,float64,17,"1.0, 2.0, 3.0, 4.0, 5.0"
REGION_RATING_CLIENT,int64,3,"2, 1, 3"
REGION_RATING_CLIENT_W_CITY,int64,3,"2, 1, 3"
WEEKDAY_APPR_PROCESS_START,str,7,"WEDNESDAY, MONDAY, THURSDAY, SUNDAY, SATURDAY"
HOUR_APPR_PROCESS_START,int64,24,"10, 11, 9, 17, 16"
REG_REGION_NOT_LIVE_REGION,int64,2,"0, 1"
REG_REGION_NOT_WORK_REGION,int64,2,"0, 1"
LIVE_REGION_NOT_WORK_REGION,int64,2,"0, 1"
REG_CITY_NOT_LIVE_CITY,int64,2,"0, 1"
REG_CITY_NOT_WORK_CITY,int64,2,"0, 1"
LIVE_CITY_NOT_WORK_CITY,int64,2,"0, 1"
ORGANIZATION_TYPE,str,58,"Business Entity Type 3, School, Government, Religion, Other"
EXT_SOURCE_1,float64,114584,"0.083036967, 0.3112673113812225, 0.7747614130547695, 0.5873340468730377, 0.3197601716755032"
EXT_SOURCE_2,float64,119831,"0.2629485927471776, 0.6222457752555098, 0.5559120833904428, 0.6504416904014653, 0.3227382869704046"
