,count,missing,missing_pct,min,max,mean,std,pct_1,pct_5,pct_10,pct_25,pct_50,pct_75,pct_90,pct_95,pct_99,unique,top_5
SK_ID_CURR,307511.0,0.0,0.0,100002.0,456255.0,278180.51857657125,102790.17534842459,103590.0,117946.0,135692.0,189146.0,278202.0,367142.0,420729.0,438427.0,452713.0,,
TARGET,307511.0,0.0,0.0,0.0,1.0,0.08072881945686496,0.27241864564839396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
CNT_CHILDREN,307511.0,0.0,0.0,0.0,19.0,0.4170517477423572,0.7221213844376252,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,,
AMT_INCOME_TOTAL,307511.0,0.0,0.0,25650.0,117000000.0,168797.9192969845,237123.1462788562,45000.0,67500.0,81000.0,112500.0,147150.0,202500.0,270000.0,337500.0,472500.0,,
AMT_CREDIT,307511.0,0.0,0.0,45000.0,4050000.0,599025.9997057016,402490.7769958549,76410.0,135000.0,180000.0,270000.0,513531.0,808650.0,1133748.0,1350000.0,1854000.0,,
AMT_ANNUITY,307499.0,12.0,0.003902299429939092,1615.5,258025.5,27108.573909183444,14493.737315118335,6183.0,9000.0,11074.5,16524.0,24903.0,34596.0,45954.0,53325.0,70006.5,,
AMT_GOODS_PRICE,307233.0,278.0,0.09040327012692229,40500.0,4050000.0,538396.2074288895,369446.46054005757,67500.0,135000.0,180000.0,238500.0,450000.0,679500.0,1093500.0,1305000.0,1800000.0,,
REGION_POPULATION_RELATIVE,307511.0,0.0,0.0,0.00029,0.072508,0.02086811205778004,0.0138312801227047,0.002134,0.00496,0.006629,0.010006,0.01885,0.028663,0.035792,0.04622,0.072508,,
DAYS_BIRTH,307511.0,0.0,0.0,-25229.0,-7489.0,-16036.995066843137,4363.98863178556,-24419.0,-23204.0,-22181.0,-19682.0,-15750.0,-12413.0,-10284.0,-9407.0,-8263.0,,
DAYS_EMPLOYED,252137.0,55374.0,18.00716071945394,-17912.0,0.0,-2384.1693246132063,2338.36016203967,-11339.0,-7291.0,-5333.0,-3175.0,-1648.0,-767.0,-333.0,-206.0,-111.0,,
DAYS_REGISTRATION,307511.0,0.0,0.0,-24672.0,0.0,-4986.120327538429,3522.886320963087,-13879.0,-11416.0,-9932.0,-7479.0,-4504.0,-2010.0,-690.0,-330.0,-50.0,,
DAYS_ID_PUBLISH,307511.0,0.0,0.0,-7197.0,0.0,-2994.2023732484367,1509.4504190030232,-5447.0,-4944.0,-4724.0,-4299.0,-3254.0,-1720.0,-730.0,-375.0,-61.0,,
OWN_CAR_AGE,104582.0,202929.0,65.9908100848425,0.0,91.0,12.061090818687727,11.94481158224276,0.0,1.0,2.0,5.0,9.0,15.0,22.0,30.0,64.0,,
