,count,missing,missing_pct,min,max,mean,std,pct_1,pct_5,pct_10,pct_25,pct_50,pct_75,pct_90,pct_95,pct_99,unique,top_5
SK_ID_CURR,307511.0,0.0,0.0,100002.0,456255.0,278180.51857657125,102790.17534842459,103590.0,117946.0,135692.0,189146.0,278202.0,367142.0,420729.0,438427.0,452713.0,,
TARGET,307511.0,0.0,0.0,0.0,1.0,0.08072881945686496,0.27241864564839396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
CNT_CHILDREN,307511.0,0.0,0.0,0.0,19.0,0.4170517477423572,0.7221213844376252,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,,
AMT_INCOME_TOTAL,307511.0,0.0,0.0,25650.0,117000000.0,168797.9192969845,237123.1462788562,45000.0,67500.0,81000.0,112500.0,147150.0,202500.0,270000.0,337500.0,472500.0,,
AMT_CREDIT,307511.0,0.0,0.0,45000.0,4050000.0,599025.9997057016,402490.7769958549,76410.0,135000.0,180000.0,270000.0,513531.0,808650.0,1133748.0,1350000.0,1854000.0,,
AMT_ANNUITY,307511.0,0.0,0.0,1615.5,258025.5,27108.48784108536,14493.46106549253,6183.0,9000.0,11074.5,16524.0,24903.0,34596.0,45954.0,53325.0,70006.5,,
AMT_GOODS_PRICE,307511.0,0.0,0.0,40500.0,4050000.0,538316.2943667056,369288.9822457966,67500.0,135000.0,180000.0,238500.0,450000.0,679500.0,1093500.0,1305000.0,1800000.0,,
REGION_POPULATION_RELATIVE,307511.0,0.0,0.0,0.00029,0.072508,0.02086811205778004,0.0138312801227047,0.002134,0.00496,0.006629,0.010006,0.01885,0.028663,0.035792,0.04622,0.072508,,
DAYS_BIRTH,307511.0,0.0,0.0,-25229.0,-7489.0,-16036.995066843137,4363.98863178556,-24419.0,-23204.0,-22181.0,-19682.0,-15750.0,-12413.0,-10284.0,-9407.0,-8263.0,,
DAYS_EMPLOYED,307511.0,0.0,0.0,-17912.0,0.0,-2251.6061311627877,2136.193491823587,-10895.0,-6742.0,-4881.0,-2760.0,-1648.0,-933.0,-392.0,-229.0,-116.0,,
DAYS_REGISTRATION,307511.0,0.0,0.0,-24672.0,0.0,-4986.120327538429,3522.886320963087,-13879.0,-11416.0,-9932.0,-7479.0,-4504.0,-2010.0,-690.0,-330.0,-50.0,,
DAYS_ID_PUBLISH,307511.0,0.0,0.0,-7197.0,0.0,-2994.2023732484367,1509.4504190030232,-5447.0,-4944.0,-4724.0,-4299.0,-3254.0,-1720.0,-730.0,-375.0,-61.0,,
FLAG_MOBIL,307511.0,0.0,0.0,0.0,1.0,0.9999967480838083,0.001803307015351493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
